uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,252,5,2022-11-01,493,0.2171533724455396,0.18493770102683288,0.20436922928192647,0.10147925017543268,0.13634351738454464,21.04102572424271
large,252,5,2022-12-01,493,0.12537743197200413,0.12138509349049455,0.11965374571197826,0.03754475359583472,0.30101956931643503,21.501995915346434
large,252,5,2023-01-03,493,0.16357431401725503,0.149323439724885,0.16043767737133477,0.08105912582155472,0.004880378131499441,20.729438854447455
large,252,5,2023-02-01,494,0.1599144413049438,0.1417406426635477,0.16450682028413088,0.1340328684565425,-0.25654593271540427,19.40381167889901
large,252,5,2023-03-01,494,0.12841625030311146,0.11425387501771601,0.13620980833790977,0.06855635250482668,0.5386377898319417,20.665368978883407
large,252,5,2023-04-03,494,0.11752929124814232,0.10527238371864722,0.13810534571560296,0.06852323824360813,-0.0441361691490566,21.86352629626522
large,252,5,2023-05-01,494,0.12213263188187914,0.11018934167352479,0.14643867934540125,0.09865471530840006,0.0054002801153429925,22.146080100234734
large,252,5,2023-06-01,494,0.17603027236674554,0.16544130067641086,0.16966617836720102,0.08123026738199716,-0.3403498811209109,20.421193616785263
large,252,5,2023-07-03,494,0.09905466850269216,0.09044083657335591,0.09816263033747089,0.06779267589782106,-0.2579440004537338,17.999247468615987
large,252,5,2023-08-01,494,0.09379748068314679,0.09224480731810622,0.10637721247182481,0.02615188861971338,0.005088959882190824,17.814053651428225
large,252,5,2023-09-01,494,0.11755750275895857,0.1118406748561606,0.09768787031736814,0.08102975407617903,-0.08660739598407052,16.83250343855738
large,252,5,2023-10-02,494,0.17854639210512177,0.16854940924793282,0.17821067608514995,0.05986169649483856,-0.23295567646382365,14.934766358854493
large,252,5,2023-11-01,494,0.11860739461487378,0.10809300858707156,0.12039854145744741,0.08725706297681952,0.13094194962795158,14.0815055635605
large,252,5,2023-12-01,494,0.16709734017302527,0.1487272702391304,0.1768054198878232,0.08160117628194842,-0.30883164023203225,12.120055739352768
large,252,5,2024-01-02,495,0.07513626858351836,0.07419635722266958,0.07010758625458893,0.026850872211633587,0.3509140236914825,10.955216014486137
large,252,5,2024-02-01,495,0.06791642205316585,0.06897603433560028,0.08639632832784895,0.03507289696201062,0.4441978206595212,10.784951316463854
large,252,5,2024-03-01,495,0.07433740709251167,0.07350325305295677,0.09150214860415368,0.020779858649349954,0.22226677992428545,10.462579421209162
large,252,5,2024-04-01,495,0.10597907222967964,0.10735364424167936,0.09980593498558685,0.02601389705208042,0.03149691312779712,9.597780120063705
