uni,n,k,date,p,V1,stab1,V3,stab3,V6,stab6,V12,stab12
large,252,5,2020-09-01,476,0.1404498256485523,0.9999999999999981,0.1412097315501388,0.9893378760157397,0.14501458770479764,0.9223171250949938,0.14484343442443384,0.5369271687616363
large,252,5,2020-10-01,476,0.14305517520609093,0.9999999999999998,0.1438747117737217,0.9860381126314178,0.1449933304548526,0.9682222237383108,0.15605125317075771,0.5893736895840963
large,252,5,2020-11-02,476,0.13717185542655758,0.9999999999999987,0.13600124789362364,0.9825258832550908,0.13846262691147534,0.9649560091640268,0.13677993921339018,0.6653682160682676
large,252,5,2020-12-01,477,0.1051135764928426,0.9999999999999997,0.10360743439685009,0.9847459246445034,0.10177998711983655,0.9517428843273107,0.1025536653387169,0.7471052881635167
large,252,5,2021-01-04,477,0.12837747298571942,0.9999999999999976,0.1273011748824815,0.9862542299323951,0.12698644156746366,0.9519577913275382,0.13440156539174947,0.8245515133492647
large,252,5,2021-02-01,477,0.14280512085954059,0.9999999999999991,0.14153287044096094,0.9909136866627556,0.13657087661651962,0.9550930465960759,0.13467653238084093,0.8746832821591702
large,252,5,2021-03-01,480,0.1360476283671887,0.9999999999999977,0.13439140672239983,0.992040727338059,0.13482303646520843,0.9641903280492283,0.1323252386442514,0.909755077348304
large,252,5,2021-04-01,480,0.08271085325717698,0.9999999999999972,0.09219986529260456,0.6699473791389197,0.0963528272645111,0.8227778880676664,0.09742796049885566,0.8606623126601789
large,252,5,2021-05-03,482,0.10642826220785502,0.9999999999999983,0.11116879676703208,0.6648591732326922,0.10840295094316037,0.6621283186507292,0.10928843952828551,0.7941881267425237
large,252,5,2021-06-01,483,0.10317317041945351,0.999999999999999,0.09366019357108595,0.9546644851142262,0.08936713881184814,0.5089244479202942,0.09938974364907571,0.7230615135227704
large,252,5,2021-07-01,483,0.08274127176134555,0.9999999999999991,0.07690305686719567,0.96891227700347,0.07604765384908473,0.6477662052288558,0.07602619958897086,0.6518565097844585
large,252,5,2021-08-02,483,0.06757691931235248,0.9999999999999989,0.0670084470466253,0.9856230890308029,0.07124238972869504,0.8060213138096048,0.08776308903674895,0.5791882405625389
large,252,5,2021-09-01,484,0.08540418752217993,0.9999999999999999,0.08734596046726817,0.9902449727947157,0.09059095658117645,0.9410540872211296,0.09113545790997606,0.5209218688685278
large,252,5,2021-10-01,484,0.0675346118624264,0.9999999999999972,0.07064080699041564,0.9840672672747887,0.07171022130634298,0.9537762433099036,0.06512914458833101,0.5687766243893019
large,252,5,2021-11-01,484,0.1446057695280744,0.9999999999999974,0.14795770645412487,0.982464647013775,0.14553141447636725,0.9624719483949267,0.14791728922304612,0.6409495069118615
large,252,5,2021-12-01,484,0.08150594271128067,0.9999999999999983,0.07872050021583844,0.8293660138922718,0.08077632952459368,0.877297502586566,0.08194146354627829,0.6776033299946862
large,252,5,2022-01-03,484,0.13772289711296165,0.9999999999999979,0.14845747219840136,0.8219994062555656,0.16069386789765433,0.7795256234631109,0.16093539521652875,0.6980079671724672
large,252,5,2022-02-01,484,0.139288790503019,0.9999999999999982,0.1378864926329144,0.7143487238377944,0.14131838975679797,0.725916222396674,0.13930343610015997,0.7376655413459915
large,252,5,2022-03-01,486,0.12725073460672365,0.9999999999999989,0.11963966311264713,0.6595860307465494,0.1306442515994607,0.665660898192682,0.15715901044099462,0.7677964537176748
